attraction_in,attraction_longitude,attraction_latitude,attraction_in_file,youTubeLinkIds
San Francisco,-122.4192362,37.7792808,san_francisco.json,"51umRiOZLe4,kIp21LwH_Pk,oi2o2r3Sgc0"
Sausalito,-122.4854693,37.8590272,sausalito.json,"yiJaf9TcC38,IF4urVZTyxI,5xjh0nFwdig"
Mill Valley,-122.5449762,37.9060368,mill_valley.json,"r0jIklsszOA,HBvSnxNl3UY,MKjWk_82Vio"
Muir Beach,-122.5813666,37.8621493,muir_beach.json,"6vWrScekQ7s,3ATaqpkHA4I,h8ruCYD0umY"
Marin County,-122.6199637,38.0409144,marin_county.json,"NnwhAW0gJFc,cDWAcZ70OR0,SFyMlxYHdX0"
Stinson Beach,-122.64508,37.9008084,stinson_beach.json,"y8MNfNaNyi8,gYpo8lhqwG0,xEfmjaDOHck"
South San Francisco,-122.408125,37.6549493,south_san_francisco.json,"51umRiOZLe4,IF4urVZTyxI,Oo6iAxf4si0"
San Bruno,-122.4110834,37.6304904,san_bruno.json,"9x-_JQvYCbA,K9L8KWMAXsI"
Millbrae,-122.3871941,37.5985468,millbrae.json,"VeBH_Xzh2xY,ZgNAM69mPVM,ScvDWVkZj90"
Burlingame,-122.3660824,37.5841026,burlingame.json,"mgO8xSLWB10,EsXidnZ9rQE,ZOeqFezN5Mw"
San Mateo,-122.3330572,37.496904,san_mateo.json,"ce_6otfqLnA,oi2o2r3Sgc0,BD-ba9D0sfw"
Foster City,-122.2688521,37.5600336,foster_city.json,"dQg5Zhp4DVs,K9-V0CxLPJA,hytRoPOMh9I"
San Carlos,-122.266149723864,37.4982065,san_carlos.json,"gUF2m0MYCFA,kuhJyqO4VF8,-dJU4ZpeW8g"
Belmont,-122.2758007,37.5202145,belmont.json,"hfYVIHUmRSg,8kODWDoD0sw,mI_sIqbzuEQ"
Woodside,-122.2538556,37.4299388,woodside.json,"sF2XXNY2InM,tN5LUwGjw4E,PTnut9BPJZA"
Mountain View,-122.0820499,37.3855745,mountain_view.json,"9VU8q7Kg_uw,JgoInfWNvDU,LpgoeCpxU1M"
San Jose,-121.8905832,37.3361905,san_jose.json,"Bcs-4Y-49-8,T2apzECdcBQ,DL0HWGQzT-k"
Santa Clara,-121.9551743,37.3541132,santa_clara.json,"f4H1QfEesnQ,M9yoLMNF1dE,vRwroRXkUa4"
Sunnyvale,-122.0363495,37.3688301,sunnyvale.json,"-89tMr3t9uc,b5HSEc216_A,OJf4TUjZW7Q"
Alviso,-121.9752372,37.426051,alviso.json,"b6S6EvwfwQI,IczQHhtKs_k,3jGxq9o_Xtg"
Morgan Hill,-121.6544973,37.130408,morgan_hill.json,"CekPWrQWyi4,-JU9ggnX3_A,1eiQ-rZly8s"
San Martin,-121.594504497603,37.089655,san_martin.json,"MA-6ahTzoEU,wLhTTfSIKuo,xM4HL-yulKk"
Mount Hamilton,-121.6430016,37.3418834,mount_hamilton.json,"VJMpkhdOT5I,lDoLLhswOwY,KZDaOYAdvRs"
Gilroy,-121.5631722,37.0065078,gilroy.json,"8L8c-aIKH-o,z9PXX8hU8k8,xYmCAlJr-bg"
Milpitas,-121.9066237,37.4282724,milpitas.json,"q4AdxAqZWyQ,Sf9CAnd_Kuw"
Sunol,-121.8885682,37.5943781,sunol.json,"Dn9wuA-TEEY,lndxxa1vDLY,voAFmyM3NGw"
Fremont,-121.9885718,37.5482697,fremont.json,"tpSNk4oylXY,P0557v4M0PQ,VHSs812FCOA"
Hollister,-121.401602,36.8524545,hollister.json,"YUADJqE2RcM,j0qYi95HPlY,Ya44efzS3cY"
San Juan Bautista,-121.5379893,36.8455173,san_juan_bautista.json,"tjmTwg6x9e8,E5uwTsBEIIE,SsyPZ0lykJI"
Pleasanton,-121.8746788,37.6624312,pleasanton.json,"Tp24Wlx6Fmc,vrh_L6GSBH8,gaTiTTUW0DM"
Union City,-122.0816296,37.5963232,union_city.json,"iZJDG1vF7qk,3DeGaPcg6fc,Uvy_m-D73H4"
Hayward,-122.0807963,37.6688205,hayward.json,"oi2o2r3Sgc0,XtRS1UEIvkE,raBQZj-R0b0"
Palo Alto,-122.1634471,37.442156,palo_alto.json,"x6lJIwmNwos,Pi1Y6efZUIY,law7od3DAvA"
Salinas,-121.6550371,36.6744117,salinas.json,"bnzFA2xNc7A,wvdc8S1WoE8,qyiDBG11akA"
Dublin,-121.9357917,37.7021521,dublin.json,"RFDTyam_Ijc,3iRh8dKu99A,DiRLZUCpdbg"
Stanford,-122.170187551249,37.4265649,stanford.json,"-uLA8nj4iz4,6B9X2-qPszc,ym4uVS-5tSA"
Menlo Park,-122.182187,37.4538274,menlo_park.json,"VdfvAySRUkc,3SpksEiNT3I,MUnWxguLTRc"
San Ramon,-121.9780152,37.7799273,san_ramon.json,"nnd0NVqe1E4,uCZi28mqraI,Ls0eM10UWu4"
Danville,-121.9999605,37.8215929,danville.json,"MWi-GB2PM1Q,HBY0WHWJzSw,exXuByWe5VY"
Atherton,-122.1977429,37.4613272,atherton.json,"YGuH0Zuivbc,mHmey3SM9y4,e_pBUOeE8j8"
Cupertino,-122.0322518,37.3230107,cupertino.json,"3VaC3LsMWqE,7QJsfllDuNU"
La Honda,-122.2741351,37.3191086,la_honda.json,"kolSdOy12kA,lT1iS0BjBAY,l7zIZYDraUQ"
Oakland,-122.2713562,37.8044557,oakland.json,"4cUVH71rQtk,vk516Cq4ulY,50RZpphkZkQ"
St. Helena,-122.4700423,38.5052288,st._helena.json,"Gwy110olRi8,tzVmpjdytsY,PsJwIQ6u2Iw"
Rutherford,-122.4224789,38.458521,rutherford.json,"Hfbq2Z0w8a0,0z8oUNSA2Dk,suO_6TUMvKc"
Saratoga,-122.0230145,37.2638324,saratoga.json,"1CubD-irjxU,rp2I3jJi5DA,k4593eSu_Ik"
Los Altos,-122.1165779,37.3790629,los_altos.json,"O9W-EMhiMF8,tzfUcDBTaXQ,p17DEYaVj7E"
Los Gatos,-121.9746796,37.226611,los_gatos.json,"iIb_BY4xBdI,WSV5Y6qEVmE"
Pescadero,-122.3821926,37.2516018,pescadero.json,"ATsApt9HR2A,xEfmjaDOHck,VK9EWucAjlE"
Felton,-122.0732905,37.0513364,felton.json,"jqPwS9jSoW4,h4RfsbkEQZE,GCWaBPnZ0LA"
Boulder Creek,-116.6881243,32.9726949,boulder_creek.json,"K5a7Bgc73yM,IgxfOhqlIrA,rctSHp8j1tM"
Castro Valley,-122.090287657374,37.715818,castro_valley.json,"HqUnbr-JYEw,C7kS3rv6u8c,UNnSDVfoLfE"
Alameda,-121.8991419,37.6090291,alameda.json,"exrEaZNtvMM,_JLGz1ownac,FP_jSU6PfXQ"
San Leandro,-122.1560767,37.7249296,san_leandro.json,"e331w_lFzdA,-hGmeofDUKQ,So5ypvK9OOY"
Napa,-122.2855292,38.2971367,napa.json,"-F-b3VCMizs,6WLxVcrzIUY,0nN_KyLZoCs"
San Gregorio,-122.3865766,37.3269168,san_gregorio.json,"Hppw5MBrQMk,GwEqdCxK2tQ,xEfmjaDOHck"
American Canyon,-122.2608043,38.1749179,american_canyon.json,"imWMpqqFFF4,jtrF479Dzj4,Ttsw37UkZ48"
Vallejo,-122.2566366,38.1040864,vallejo.json,"jzHyvXDP1v4,VWj332N4DC8,1igg0EbHksA"
Benicia,-122.1585776,38.049365,benicia.json,"zmgIS9bh2Y0,PYAHMzpYvPA,gwQ_kxxpmNE"
Sonoma,-122.8473387,38.5110803,sonoma.json,"76Dj9hqY4kY,IF4urVZTyxI,5j8Jf7u8S1Y"
Martinez,-122.134132,38.0193657,martinez.json,"NwcaFUGAQOU,Ic76QuFskME,VCoiu_u9KUA"
Pleasant Hill,-122.0607962,37.9479786,pleasant_hill.json,"u7zGOCxOhHw,Lc8m727Uz2s,SslGrL3mZ14"
Oakville,-122.4022006,38.4368549,oakville.json,"GOiLptV6CBo,UjzC44-1Fhs,ttYBjV6fEd8"
Walnut Creek,-122.0649629,37.9063131,walnut_creek.json,"9ikNETzwEwQ,UivtB7nOgaw,OLkEbqGWo40"
Calistoga,-122.583325948608,38.582615,calistoga.json,"X7IMhhxMbjc,6WLxVcrzIUY,sh7emkKhGbI"
Glen Ellen,-122.5390728,38.355533,glen_ellen.json,"eB501oYvFIg,GN-G0z5Tgfk,k70xBg8en-4"
Santa Rosa,-122.7144313,38.4404675,santa_rosa.json,"6ZhCLNBazTQ,cZnwxD6N6Oo,pMAd7qgmmd0"
Fulton,-122.7699885,38.4962997,fulton.json,"VwXUFEPZ5_g,9fwPAjYICog,Js2PqXN0iks"
Kenwood,-122.5460934,38.4138005,kenwood.json,"8HJzkjwGhzQ,j7MbKcj17SY,mwIp3S8L7-8"
Windsor,-122.804427291464,38.519758,windsor.json,"_ytqC0C4iFo,cVi2h3OeeAc,0w0tXxTiD2I"
Guerneville,-122.987128549631,38.5116609,guerneville.json,"8UTa_I1_v2w,qys0Vx_77EU,kVKQ63IwA2s"
Monte Rio,-123.019645539318,38.466359,monte_rio.json,"lUXhnBCrOa4,mzc7yPSiuPM,cZnwxD6N6Oo"
Bodega Bay,-123.0061117,38.273529,bodega_bay.json,"ZOUB-Xkl5c4,QNMXIRS0ipo,Bu7NP9MCYec"
Healdsburg,-122.8701379,38.6106812,healdsburg.json,"fdn9tqlAlbk,nO9NiK7k4T0,LKLPfx7e4z0"
Duncans Mills,-123.0550012,38.453803,duncans_mills.json,"vHLzK-m6sA8,KsYjALAQl0A"
Forestville,-122.861584174866,38.4833405,forestville.json,"-KQdio7pYvg,wtk_uEoLFEU,n1thz3sMcEo"
Sebastopol,-122.8238805,38.4021359,sebastopol.json,"7X_Yqnq_oWs,_CX1Qg0z2NI,IHNrKSCAekc"
Geyserville,-122.9024963,38.707687,geyserville.json,"CtIz8XRRGiE,oj6YrR1iNbg,HsH6HwAPWF8"
Rohnert Park,-122.7010983,38.3396367,rohnert_park.json,"5jSXcey8aZ8,5kMd_oWxZuE,Dn4yIgxpyqk"
Yountville,-122.3608104,38.4015781,yountville.json,"egdonyLY-pQ,giaKFTn93zQ,usiwP00tR1g"
Angwin,-122.448651445455,38.5783555,angwin.json,"n_nmwHHRzDo,Emc1fQgYLzk,ZhpyrQNewhw"
Deer Park,-120.8232691,38.6818484,deer_park.json,"3ICP7RhRkKM,l79a91t9i-U,jX02jMs92Nc"
Pope Valley,-122.4277569,38.6151837,pope_valley.json,"nepPhakp-RA,hQr3HBIC-KE,H5Fez5zUdVo"
Redding,-122.3916753,40.5863563,redding.json,"S4tC92I7UJk,NgHG3J6Wk64,fIV-FfvjvTQ"
Redwood National Park,-124.030095146171,41.27553155,redwood_national_park.json,"hytRoPOMh9I,Ye0_X6bH6Ek,nHGHkOIB7og"
Orick,-124.0597936,41.2867896,orick.json,"BSy9Kt0m9wA,GE4t4EFmlyU,inlxEo95oNk"
Eureka,-124.1636728,40.8020712,eureka.json,"33BejpTI1O0,gUPRNAsZxRk,4QbhzhzmNJ0"
Crescent City,-124.149861883096,41.8528065,crescent_city.json,"eQNKy4MFu_E,RZq1gjMM-ss,r5y91IlrHBA"
Weott,-123.9226033,40.3214878,weott.json,"ZTY2_dfOiMA,Do62AUwBijE,j4Q3LjKDNbM"
Myers Flat,-123.8703145,40.2662524,myers_flat.json,"8cOBAtgwOjE,9bEiv47XGN8,aTkvIAOYDp4"
Redway,-123.822705490154,40.12179,redway.json,"8ze9gUSzfvE,4lwB5_l7KPA"
Redcrest,-123.950042,40.4004168,redcrest.json,"4emdD53iUAE,ZTY2_dfOiMA,VwtUcp8e-gg"
Garberville,-123.7961393,40.1005685,garberville.json,"j4Q3LjKDNbM,IviEzd02EKE,hiqcD-MDcAI"
Leggett,-123.7141883,39.8657071,leggett.json,"UlOVB_cj_t0,iv2162nClN4,3pMCIIUCQcM"
Rio Dell,-124.1064368,40.4993013,rio_dell.json,"ZE-3S1w1ESM,mSdv7YNMLn0,KTKiE040Dg4"
Carlotta,-124.0606038,40.537357,carlotta.json,"zRHCHzaULpY,1IYxTPz6nXM"
Piercy,-123.794251,39.9662625,piercy.json,"Nd_BiGYqylM,IIKd7zFsdkU"
Ferndale,-124.2639441,40.5762406,ferndale.json,"4pZB1NzCyDg,2NmyjMB0oW4,vJ7DckJOerA"
Fortuna,-124.156034,40.5974067,fortuna.json,"CS0k0ZSWYFo,TepVj43ax-8,3MhbsXTkZiQ"
Loleta,-124.2244728,40.6408678,loleta.json,"uQJd445n1ic,uvkSR-rgU6E,oeKFGsmxGiY"
Smith River,-124.1470273,41.9281678,smith_river.json,"y3fgUzcZIWE,JIBLxXl2Rz4,DZYXADCkfT8"
Samoa,-124.1864517,40.8187372,samoa.json,"3yzwZ72Kft4,uXZWq9VpMQs,atoUaGM94FM"
Trinidad,-124.1431245,41.059291,trinidad.json,"JfDHwKIG_qs,L7sgQl_qQy4,DHgioHUR6rQ"
Blue Lake,-123.9839487,40.8829072,blue_lake.json,"iBCu2M1iCNA,JgoInfWNvDU,wETgdf9FM-4"
Arcata,-124.0828395,40.8665166,arcata.json,"PcUX3lZ6gqo,KQM3IjS0mcM,BaYNR2xmcps"
McKinleyville,-124.102789674524,40.966005,mckinleyville.json,"FPdueV3l0SE,obrmL69ektM,cLPqcWOxCxc"
Whiskeytown,-122.5597372,40.6387601,whiskeytown.json,"S4tC92I7UJk,NgHG3J6Wk64"
Lakehead,-122.3791776,40.90515,lakehead.json,"nALohWVFjH8,CxIGcWMJ1IU,BMBG8q-kwmg"
Shasta Lake,-122.3626506,40.6799638,shasta_lake.json,"fIV-FfvjvTQ,aCI1wXH7KBw,7pv9x4rhSlY"
Lassen Volcanic National Park,-121.404335848657,40.49138385,lassen_volcanic_national_park.json,"SDkpRbrNk8M,WJ1YDcGxz2c"
Mount Shasta,-122.3105665,41.3098746,mount_shasta.json,"fIV-FfvjvTQ,P7SRtvN-ovU,6svne7Ah-xM"
McCloud,-122.135266242664,41.2497685,mccloud.json,kLhBpVTU7Rk
Dunsmuir,-122.2719528,41.2082089,dunsmuir.json,"4cUVH71rQtk,9xebMvPWEK8,zGIUDtGwNJ0"
Castella,-122.3177876,41.1384854,castella.json,"bwFrqBU94_k,nQkkO_uM3Wg,dT73i3ogtYg"
Cassel,-121.5477608,40.9190499,cassel.json,7ZAL_V-NsX0
Mineral,-121.5949803,40.3476588,mineral.json,"GOAqMw13gdg,JFmJ6fDebBc,DjPv6uKLSPY"
Fall River Mills,-121.441177633828,41.004556,fall_river_mills.json,"T1b3U6cahEI,jbe_ZbUazBk,in2XWiPb3CY"
Hat Creek,-121.4682867,40.6173462,hat_creek.json,"af2oTqExKgE,4gFEmAsS2Og,_-XNNuZUzOs"
Old Station,-121.4308104,40.6751608,old_station.json,"OvXGh_Pv6qg,htkZfQLK514,OZbWtUe5B3Q"
Burney,-121.672782520342,40.8884145,burney.json,"fIV-FfvjvTQ,0giLgFhuh_0,7dC64v3fMFQ"
Susanville,-120.6530062,40.4162842,susanville.json,"XcvMmzM8Izg,fcYUUQDHkyk,bD3zbSL-sgY"
Westwood,-121.010399151458,40.3024675,westwood.json,"wxKRKFx104o,EB3JVuqUMtM,5BrJlfAO3rU"
Quincy,-120.953573847289,39.9309945,quincy.json,"sOn-0y8Y6XE,Y-K3U4ArRaY,lE1TqeU-os0"
Taylorsville,-120.839943709363,40.0632855,taylorsville.json,"FvIL52BKBdM,5onrOsKn94s,DTJUL1cu3AA"
Portola,-120.4691033,39.8104567,portola.json,"1WL0FDho6UQ,qdyRVfixF74"
Blairsden,-120.60878036923,39.7753335,blairsden.json,"_idqQvojboE,NWMMspGe8cw,tjXcL2mhs0M"
Graeagle,-120.64844570134,39.7533435,graeagle.json,"tjXcL2mhs0M,2Jx1ce7RPIY,yNgFi0b-Fsc"
Clio,-120.565078536214,39.7495505,clio.json,"HTsbUPWyOog,NUZjBQbs92I,EgPrZfRF5iY"
Los Angeles,-118.2439408,34.0543942,los_angeles.json,"jtrF479Dzj4,Vc5jSKOsgCA,bTvr_2v-0HI"
Sierraville,-120.36743,39.5896256,sierraville.json,"CZscC8y8CbU,p_VrrCIkIgQ"
Soda Springs,-123.3158409,39.0240651,soda_springs.json,"w6hoHA_pF4s,m1HmJqgtJB0,bFv8bT1ljOw"
Norden,-120.3572124,39.3178273,norden.json,"KC3uOtKE_yY,s3KRguQuFZs,ij8idpL2knk"
Sierra City,-120.6338272,39.5657329,sierra_city.json,"-FkGsFtbRvk,peOmaIgEWVs,CyzAQ0ie9yA"
Beverly Hills,-118.4003562,34.0736204,beverly_hills.json,"xo1ydCntmOs,cielCwd83x8,bTvr_2v-0HI"
Marina del Rey,-118.4508017,33.9774017,marina_del_rey.json,"tYhnAav0-Bo,VdBrPn_fpb8,FrxVqsQFuag"
Truckee,-120.1832532,39.327962,truckee.json,"LLS2LDuI9uo,h04Q9WuuzbU,ITU_WFTzkKg"
Culver City,-118.3964664,34.0211224,culver_city.json,"XoaviTbT--k,07Nzdw6Gg6w,ms4NxXnPHPY"
Newhall,-118.5291916,34.3798765,newhall.json,"djr5tt1TsQ4,3anY2z0bxP8,rsNe2HHUVzQ"
South Lake Tahoe,-119.987846390157,38.929125,south_lake_tahoe.json,"9xsZuUG469w,i_KpX1D6QWA,vwe3QnSVTmU"
Santa Clarita,-118.5425859,34.3916641,santa_clarita.json,"1zcf_dgeFhs,_o9j9Zrj42A,3xWgcVv5n3U"
Castaic,-118.6228655,34.4888822,castaic.json,"PEa6NXM2SAs,0u3sx522moA,Txj3FuuRg9g"
Bell Gardens,-118.1514587,33.9652918,bell_gardens.json,"WBdyvbXs2aA,ENztAAQKXvM,7sVuwQOSxDs"
Gardena,-118.3070891,33.8883302,gardena.json,"EEIvpWVYppI,JPZN6V1uaic,FinPIcUA3OU"
Compton,-118.2260433,33.8948824,compton.json,"H6aJP1TmYcg,-d1JVbf7Wd4,sty9dGG8JY4"
Saugus,-118.5168256,34.4493489,saugus.json,"uHUn2KcUccU,INB129BXsiE,mvD5E_IBKNM"
Paramount,-118.1707029,33.8984873,paramount.json,"U8XPqDTyPro,q-Dz_FngKCo,UMJW-V-Gmb4"
Hawthorne,-118.3477941,33.9113109,hawthorne.json,"87uETsrePyM,ayT21TmbXWg,OFWtf0ghSyk"
Bellflower,-118.1167678,33.8825705,bellflower.json,"RF12mYz2O7M,01BVkXRmqS0"
El Segundo,-118.3829549,33.9122175,el_segundo.json,"jtrF479Dzj4,4A4u1wpNJhk,lum-Wq8FtIY"
Inglewood,-118.353131,33.9616801,inglewood.json,"6q65OvNWHPw,mB79HlsiYVg,-Cl0qEsqgME"
Tahoe City,-120.138803,39.1721291,tahoe_city.json,"UjJuK-4iA9w,kvQP-Rp2Bhs,nMRc9JeG8Eo"
Lakewood,-118.1171913,33.8503463,lakewood.json,"33RLVitmJOM,6cbunx8A-xI,j_juxC1WVME"
Burbank,-118.3258553,34.1816482,burbank.json,"P-IjNfRM9uY,eaWfyBR8wyU,lOHD_p4eDMo"
Long Beach,-118.158049215311,33.78538945,long_beach.json,"5tEAcOwYmNY,TYaK8VYTqZs,jPy5V0OfhSY"
Calabasas,-118.6440972,34.1446643,calabasas.json,"0PzYTSJcQdg,30jSLxKApnM,PIwCA0N20cY"
Catalina Island,-118.424154004558,33.3890232,catalina_island.json,"fu9VhOMYYlQ,s-uLCchHcNs,H8bYcZun6Ls"
West Hollywood,-118.3617442,34.0900091,west_hollywood.json,"gv7C9xE8a9I,i1myxXtNIyg,ML3GNhhniQo"
Los Alamitos,-118.0772432,33.8038865,los_alamitos.json,"7cRtvHNrl3E,5Oa3ESvuDXo,Yjp_21NJv2o"
Newport Beach,-117.92944,33.6170092,newport_beach.json,"VeHL42qqVRI,QSzaQYmCrg0,MQrmNN13NJ4"
Santa Monica,-118.4869738,34.0195598,santa_monica.json,"X6yt8-BKXsE,gxxDKST5wpI,kkQrPjL20nA"
Glendale,-118.248367,34.1423455,glendale.json,"NHF_zr-MLcQ,7GC1VLmJkWQ,eaWfyBR8wyU"
Malibu,-116.5023561,33.7932142,malibu.json,"hcjVLL-kIkQ,k1hePp0blIA,gv7C9xE8a9I"
Topanga,-118.5970195,34.0908165,topanga.json,"M6UUPxXyNS8,LTweCWM2djQ,WEcsb2hkOyg"
Westlake Village,-118.8056473,34.1458389,westlake_village.json,"heUIqPNK9BQ,FQVfgwFeZfY,HKzO0S_87Xo"
Agoura,-118.7381106,34.1430352,agoura.json,"8rbimyczy3Q,GavMj-A_jqI,rO3rN58txVM"
Simi Valley,-118.7814819,34.2694474,simi_valley.json,"B6K9u0QOTrQ,2MNm7VxZMRI,8tL4sjHQSTk"
Fillmore,-118.9125092,34.3985613,fillmore.json,"OoVBWGIwCQ4,UascVHczwh0,ozS5Vuf3TIY"
Moorpark,-118.8820413,34.285558,moorpark.json,"icKygOunuDM,3nLLeiYcMeY,2TFJjsRFcBw"
Thousand Oaks,-118.910587629744,34.17142715,thousand_oaks.json,"fbWUX5ffvDY,zL4WXOKd7GM,G96avQpRULs"
